message_length_in_char,message_length_in_char,number_of_inquiries,avg_reply_t,number_of_inquiries2,avg_reply_t2,,message_length_in_char,number_of_inquiries2,avg_reply_t2
<=1,<=1,31,486.5833333,1793,876.0977981,,<=1,1793,876.0977981
20-Feb,2-20,134,587.6328479,297,2382.641573,,2-20,297,2382.641573
21-50,21-50,612,1951.483155,436,347.8644406,,21-50,436,347.8644406
51-100,51-100,1861,1217.248281,802,881.9100823,,51-100,802,881.9100823
101-150,101-150,2193,1720.315969,891,791.2468358,,101-150,891,791.2468358
151-200,151-200,1832,1960.372737,829,1827.627797,,151-200,829,1827.627797
201-250,201-250,1456,1477.129336,677,1549.436436,,201-250,677,1549.436436
251-300,251-300,1083,1156.927665,503,819.1417157,,251-300,503,819.1417157
301-400,301-400,1485,1504.90367,636,774.3115196,,301-400,636,774.3115196
401-500,401-500,667,1547.561739,369,548.1524621,,401-500,369,548.1524621
>500,>500,1006,1875.84727,409,1312.477739,,>500,409,1312.477739